customer_id,customer_name,gender,age,city,state,country,signup_date,last_purchase_date,loyalty_score,total_orders,total_spent,churn_status,preferred_channel
CUST-59825,Nancy Jones,Female,44,Munich,Bavaria,Germany,2021-02-04,2024-11-21,0.67,7,6880.11,False,Email
CUST-53379,Steven Jones,Male,58,Singapore,Singapore,Singapore,2021-02-24,2024-12-14,0.61,5,5266.66,False,SMS
CUST-56158,Richard Wilson,Male,48,Zaragoza,Valencia,Spain,2020-05-24,2024-09-27,0.67,5,14427.259999999998,False,Email
CUST-53695,Mary Davis,Female,48,Fortaleza,São Paulo,Brazil,2020-04-26,2024-10-28,0.64,4,8279.39,False,SMS
CUST-51921,Lisa Jones,Female,23,Barcelona,Valencia,Spain,2021-10-07,2024-08-31,0.47,5,4285.52,False,Email
CUST-58798,Thomas Rodriguez,Male,27,Munich,Bavaria,Germany,2022-05-17,2024-12-02,0.8,9,13797.58,False,SMS
CUST-56188,Charles Hernandez,Other,60,Palermo,Campania,Italy,2021-09-15,2024-09-13,0.55,4,7076.27,False,App
CUST-58848,Michelle Perez,Female,58,Buenos Aires,Tucumán,Argentina,2020-08-21,2024-12-25,0.8,7,13287.85,False,Email
CUST-56112,Linda Moore,Female,34,Yokohama,Hokkaido,Japan,2020-05-09,2024-08-15,0.33,3,1060.21,False,App
CUST-59489,Daniel Smith,Male,31,Singapore,Singapore,Singapore,2021-06-21,2024-11-18,0.8,10,19706.54,False,SMS
CUST-56973,David Jackson,Male,29,Turin,Sicily,Italy,2022-02-12,2024-11-26,0.72,4,11152.86,False,App
CUST-57579,Elizabeth White,Female,42,Yokohama,Kanagawa,Japan,2021-11-13,2024-09-11,0.65,5,57949.69,False,Email
CUST-56071,Anthony Sanchez,Male,32,Munich,Bavaria,Germany,2022-04-09,2024-12-08,0.59,7,3641.04,False,App
CUST-57470,David Rodriguez,Male,26,Fortaleza,São Paulo,Brazil,2021-05-03,2024-12-25,0.83,9,14843.77,False,Website
CUST-54046,John Williams,Male,45,Guangzhou,Sichuan,China,2020-11-24,2024-05-31,0.37,3,5455.86,True,App
CUST-57385,Susan Anderson,Female,60,Sydney,New South Wales,Australia,2021-02-01,2024-12-12,0.78,7,13863.83,False,Email
CUST-54207,John Martin,Male,35,Daejeon,Seoul,South Korea,2020-03-02,2024-11-07,0.7,4,16756.07,False,Email
CUST-59603,Donald Ramirez,Male,45,Daegu,Daegu,South Korea,2021-03-04,2024-12-07,0.81,9,14424.34,False,App
CUST-54202,Karen Anderson,Female,57,Braga,Porto,Portugal,2020-04-12,2024-12-25,0.83,9,9920.86,False,Email
CUST-54272,Patricia Jackson,Female,35,Paris,Île-de-France,France,2020-08-08,2024-12-09,0.59,3,5531.85,False,App
CUST-55446,Emily Martinez,Female,40,Lyon,Auvergne-Rhône-Alpes,France,2021-03-05,2024-12-03,0.79,8,47873.88,False,Website
CUST-58270,Sandra Perez,Female,31,Toronto,British Columbia,Canada,2021-04-16,2024-08-08,0.45,5,4431.84,False,Email
CUST-56177,Emily Wilson,Female,38,Braga,Porto,Portugal,2020-12-30,2024-12-16,0.83,10,23275.26,False,SMS
CUST-50688,Kimberly Jackson,Female,49,Naples,Sicily,Italy,2022-09-18,2024-07-12,0.42,6,3931.44,False,App
CUST-58825,Lisa Garcia,Female,39,Mumbai,Karnataka,India,2021-01-31,2024-11-09,0.76,8,25755.23,False,SMS
CUST-59233,John Martin,Male,48,Tokyo,Kanagawa,Japan,2021-02-28,2024-09-09,0.6,4,8779.37,False,Email
CUST-52333,James Martin,Male,40,Naples,Lombardy,Italy,2021-02-12,2024-09-09,0.62,3,27831.67,False,Email
