employee_id,employee_name,gender,age,department,role,joining_date,tenure_years,performance_score,salary,bonus,training_hours,attrition_status,manager_id
EMP-10001,Daniel Taylor,Male,45,Operations,Operations Director,2011-05-09,13.6,0.92,151404.97,36034.38,87,False,EMP-13607
EMP-10002,Richard King,Male,35,IT,Senior Data Engineer,2012-05-29,12.6,0.74,101571.91,12594.92,68,False,EMP-11293
EMP-10003,Emily Clark,Female,52,Sales,Sales Executive,2013-06-01,11.6,0.24,65811.87,2579.83,58,False,EMP-13962
EMP-10004,Cynthia Hill,Female,53,Marketing,Social Media Manager,2011-04-22,13.7,0.55,52371.29,3351.76,73,False,EMP-12477
EMP-10005,Sarah Martin,Female,41,Operations,Senior Operations Analyst,2014-09-18,10.3,0.74,87263.01,10820.61,67,False,EMP-13328
EMP-10006,Cynthia Martin,Female,42,Marketing,Content Manager,2017-07-31,7.4,0.42,65002.04,3484.11,42,False,EMP-14646
EMP-10007,Mark Nguyen,Male,46,Marketing,Social Media Manager,2017-09-06,7.3,0.57,69314.92,4547.06,59,False,EMP-14274
EMP-10008,Ronald Brown,Male,35,Marketing,Content Manager,2016-03-06,8.8,0.39,54654.96,2798.33,80,False,EMP-11117
EMP-10009,Andrew Williams,Male,30,Sales,Account Manager,2012-01-14,13.0,0.54,105705.01,19132.61,50,False,EMP-11800
EMP-10010,Margaret Harris,Female,52,Operations,Operations Associate,2019-12-20,5.0,0.38,40228.05,2027.49,85,False,EMP-14673
EMP-10011,Edward Lee,Male,41,Operations,Administrative Assistant,2011-06-12,13.6,0.26,49243.84,2009.15,83,False,EMP-14672
EMP-10012,Susan Taylor,Female,32,Sales,Sales Executive,2015-12-08,9.1,0.5,63013.23,3780.79,50,False,EMP-12445
EMP-10013,Susan Walker,Female,48,Operations,Process Coordinator,2011-09-07,13.3,0.63,49663.46,3496.31,92,False,EMP-13590
EMP-10014,David Martin,Male,37,Finance,VP of Finance,2015-11-23,9.1,0.62,242148.16,73855.19,73,False,EMP-10517
EMP-10015,Susan Lee,Female,35,Operations,Logistics Coordinator,2011-11-29,13.1,0.39,63132.22,3232.37,54,False,EMP-12672
EMP-10016,Ashley Moore,Female,38,Operations,Logistics Coordinator,2012-02-20,12.9,0.66,62905.9,4579.55,71,False,EMP-11415
EMP-10017,Thomas Harris,Male,42,IT,Senior DevOps Engineer,2014-10-02,10.2,0.61,109848.59,12193.19,71,False,EMP-14474
EMP-10018,Andrew Brown,Male,61,HR,Senior Recruiter,2014-07-27,10.4,0.54,68664.28,7141.09,71,False,EMP-12803
EMP-10019,Charles Hill,Male,28,Sales,Business Development Executive,2015-01-11,10.0,0.49,70195.38,4155.57,100,False,EMP-14522
EMP-10020,Donald Flores,Male,54,Operations,Logistics Coordinator,2011-08-30,13.3,0.55,56730.38,3630.74,70,False,EMP-14767
EMP-10021,Michael Wilson,Male,44,IT,Junior Software Engineer,2014-08-18,10.4,0.58,50822.62,3374.62,77,False,EMP-10101
EMP-10022,Jennifer Martin,Female,30,Sales,Sales Executive,2016-05-12,8.6,0.55,64241.19,4111.44,93,False,EMP-14180
EMP-10023,David Moore,Male,44,Marketing,Content Manager,2011-03-02,13.8,0.55,76166.93,4874.68,69,False,EMP-13975
